id,product_name,vm_number,active_substances,target_species,distribution_category,pharmaceutical_form,therapeutic_group,antibiotic_active_ingredient_unit,antibiotic_active_ingredient_mg_unit,antibiotic_class,antibiotic_route_of_administration,hp_cia
973,Fatroseal 2.6 g Intramammary Suspension for Dry Cows ,11557/5002,Bismuth Subnitrate,,POM-V,Intramammary suspension,Miscellaneous mechanical teat seal ,,,,,
134,Tramazole 2.5% w/v SC Oral Suspension,11810/4007,Albendazole,,POM-VPS,Oral suspension,Anthelmintic,,,,,
634,Tramazole 100 mg/ml SC Oral Suspension for Cattle and Sheep,11810/4011,Albendazole,,POM-VPS,Oral suspension,Anthelmintic,,,,,
974,Topimec Plus 10/100 mg/ml Solution for Injection for Cattle,11990/3000,"Clorsulon, Ivermectin",,POM-VPS,Solution for injection,Endectocide,,,,,
201,Fly & Lice Spot On Insecticide 1% w/v Cutaneous Solution,42058/4096,Deltamethrin,,POM-VPS,Cutaneous solution,Ectoparasiticide,,,,,
405,Rimadyl Cattle 50 mg/ml Solution for Injection,42058/4118,Carprofen,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
337,Rispoval 3 BRSV Pi3 BVD Lyophilisate and Suspension for Suspension for Injection for Cattle,42058/4124,"Bovine parainfluenza virus 3, Bovine respiratory syncytial virus, Bovine viral diarrhoea virus",,POM-V,Suspension for injection,Live and Inactivated Viral Vaccine,,,,,
150,Synulox Ready-to-Use Suspension for Injection,42058/4148,"Amoxicillin, Clavulanic Acid",,POM-V,Suspension for injection,Antimicrobial,ml,140,Penicillins,Injection,
49,Terramycin Aerosol Spray 3.92% w/w Cutaneous Spray,42058/4150,Oxytetracycline Hydrochloride,,POM-V,"Cutaneous spray, solution",Antimicrobial,,,,,
7,Terramycin/LA 200 mg/ml Solution for Injection,42058/4151,Oxytetracycline,,POM-V,Solution for injection,Antimicrobial,ml,200,Tetracyclines,Injection,
271,Zermex 1% w/v Solution for Injection for Sheep,42058/4171,Moxidectin,,POM-VPS,Solution for injection,Endectocide,,,,,
720,"Dexafast 2 mg/ml Solution for Injection for Horses, Cattle, Pigs, Dogs and Cats",43173/4009,Dexamethasone,,POM-V,Solution for injection,Anti Inflammatory corticosteroid,,,,,
