id,product_name,vm_number,active_substances,target_species,distribution_category,pharmaceutical_form,therapeutic_group,antibiotic_active_ingredient_unit,antibiotic_active_ingredient_mg_unit,antibiotic_class,antibiotic_route_of_administration,hp_cia
795,Tribrissen 48% Suspension for Injection,01708/4593,"Sulfadiazine, Trimethoprim",,POM-V,Suspension for injection,Antimicrobial,ml,480,Trim-sulph,Injectable,
780,Devomycin 250 mg/ml Solution for Injection,02000/4018,Streptomycin Sulphate,,POM-V,Solution for injection,Antimicrobial,ml,250,amino,Injectable,
783,Calciject 20 CM Solution for Injection,02000/4120,"Boric Acid, Calcium, Magnesium",,POM-VPS,Solution for injection,Mineral,,,,,
778,Parafend LV 9.06% w/v Oral Suspension,02000/4121,Oxfendazole,,POM-VPS,Oral suspension,Anthelmintic,,,,,
785,Parafend SC Oral Suspension for Sheep,02000/4130,"Cobalt, Oxfendazole",,POM-VPS,Oral suspension,Anthelmintic anticestodal,,,,,
796,Oxycare 3.6% w/w Cutaneous Spray Solution,02000/4164,Oxytetracycline Hydrochloride,,POM-V,"Cutaneous spray, solution",Antimicrobial,,,,,
824,Dunlop's 20% w/v PMD Solution for Injection,02000/4206,"Boric Acid, Calcium, Glucose, Magnesium",,POM-VPS,Solution for injection,Mineral,,,,,
256,"Copinox Lamb 2 g Capsule, Hard",14016/4002,Copper Oxide,,AVM-GSL,"Capsule, hard",Mineral,,,,,
293,"Copasure 24 g Capsule, Hard",14016/4003,Copper Oxide,,AVM-GSL,"Capsule, hard",Mineral,,,,,
488,"Tratol 50 mg/ml Oral Suspension for Pigs, Cattle and Sheep",01656/4028,Toltrazuril,,POM-V,Oral suspension,Antiprotozoal anticoccidial,,,,,
480,Quiflor 100 mg/ml Solution for Injection for Cattle and Pigs (Sows),01656/4059,Marbofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
479,"Quiflor 20 mg/ml Solution for Injection for Cattle, Pigs and Dogs",01656/4060,Marbofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,20,Fluoroquinolones,Injection,
197,Foston 20% w/v Solution for Injection,01708/4426,Toldimphos Sodium,,POM-V,Solution for injection,Mineral,,,,,
46,Liquid Life-Aid Oral Solution,02000/4074,"Glucose Monohydrate, Glycine, Potassium Dihydrogen Phosphate, Sodium Chloride, Sodium Propionate",,AVM-GSL,Oral solution,Replacement Agent,,,,,
63,"Intravit 12 Solution for Injection, 0.05% w/v",02000/4116,Cyanocobalamin,,POM-VPS,Solution for injection,Vitamin,,,,,
25,Parafend 2.265% w/v Oral Suspension,02000/4119,Oxfendazole,,POM-VPS,Oral suspension,Anthelmintic,,,,,
176,Amoxycare Suspension for Injection 15% w/v,02000/4140,Amoxicillin,,POM-V,Suspension for injection,Antimicrobial,ml,150,Penicillins,Injection,
191,Trimacare Tablets Bolus,02000/4148,"Sulfadiazine, Trimethoprim",,POM-V,Tablet,Antimicrobial,items,1200,Trim-sulph,Bolus,
861,Novem 5 mg/ml Solution for Injection for Cattle and Pigs,04491/5038,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
400,"Powerflox 50 mg/ml Solution for Injection for Cattle, Pigs, Dogs and Cats",05653/4146,Enrofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,50,Fluoroquinolones,Injection,
65,"Paracide 62 %w/v, Concentrate for Dip Emulsion",14016/4007,Dimpylate,,POM-VPS,Concentrate for dip solution,Ectoparasiticide sheep dip,,,,,
994,Gabbrovet Multi 140 mg/ml Solution for Use in Drinking Water/Milk for Pre-ruminant Cattle and Pigs ,15052/3001,Paromomycin,,POM-V,Solution for use in drinking water/milk,Antimicrobial,,,,,
481,Quiflor S 100 mg/ml Solution for Injection for Cattle,01656/4061,Marbofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
359,Fasimec Duo 50 mg/ml + 1 mg/ml Oral Suspension for Sheep,00879/4072,"Ivermectin, Triclabendazole",,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
363,Enroxil Max 100 mg/ml Solution for Injection for Cattle,01656/4006,Enrofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
354,Fenflor 300 mg/ml Solution for Injection for Cattle,01656/4026,Florfenicol,,POM-V,Solution for injection,Antimicrobial,ml,300,Amphenicols,Injection,
361,Bovilis IBR Marker Inac Suspension for Injection for Cattle,01708/4617,Infectious bovine rhinotraceitis virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
364,Resflor 300/16.5 mg/ml Solution for Injection for Cattle,01708/4581,"Florfenicol, Flunixin",,POM-V,Solution for injection,Antimicrobial; Anti Inflammatory,,,,,
356,"Paramectin Multi Injection 1% w/v Solution for Injection for Cattle, Sheep and Pigs",02000/4261,Ivermectin,,POM-VPS,Solution for injection,Endectocide,,,,,
358,Paramectin Drench 0.08% w/v Oral Solution,02000/4263,Ivermectin,,POM-VPS,Oral solution,Endectocide,,,,,
184,Regulin 18 mg Implant,15052/4011,Melatonin,,POM-VPS,Implant,Hormone,,,,,
202,Spectam Injectable 10% w/v Solution for Injection,15052/4012,Spectinomycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Aminoglycosides,Injection,
355,Cyclix 250 microgram/ml Solution for Injection for Cattle,05653/4157,Cloprostenol,,POM-V,Solution for injection,Prostaglandin,,,,,
803,Duphacycline 10% w/v Solution for Injection,02000/4285,Oxytetracycline Hydrochloride,,POM-V,Solution for injection,Antimicrobial,ml,100,tetra,Injectable,
807,Closiver 5 mg/ml + 200 mg/ml Pour-on Solution for Cattle,02000/4311,"Closantel, Ivermectin",,POM-VPS,Pour-on solution,Endectocide,,,,,
811,Marbonor SOLO 100 mg/ml Solution for Injection for Cattle,02000/4332,Marbofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,fluoro,Injectable,
814,Eprivet 5 mg/ml Pour-on Solution for Beef and Dairy Cattle,02000/4343,Eprinomectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
806,Kefloril 300 mg/ml Solution for Injection for Cattle and Pigs,08007/4123,Florfenicol,,POM-V,Solution for injection,Antimicrobial,ml,300,other,Injectable,
802,"Shotaflor 300 mg/ml Solution for Injection for Cattle, Florfenicol",05653/4145,Florfenicol,,POM-V,Solution for injection,Antimicrobial,ml,300,other,Injectable,
357,Closiver 5 mg/ml/125 mg/ml Solution for Injection for Cattle and Sheep,02000/4262,"Closantel, Ivermectin",,POM-VPS,Solution for injection,Endectocide,,,,,
897,"Recocam 20mg/ml Meloxicam Solution for Injection for Use in Cattle, Pigs and Horses",50146/5000,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
261,Enzaprost 5 mg/ml Solution for Injection for Cattle and Pig,15052/4015,Dinoprost,,POM-V,Solution for injection,Prostaglandin,,,,,
348,"Ovarelin 50 µg/ml, Solution for Injection for Cattle",15052/4022,Gonadorelin,,POM-V,Solution for injection,Hormone sex,,,,,
226,Cevac Chlamydia,15052/4031,Chlamydophila abortus,,POM-V,Powder and solvent for solution for injection,Live Bacterial Vaccine,,,,,
401,Powerflox 100 mg/ml Solution for Injection for Cattle and Pigs,05653/4147,Enrofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
535,Enrotron 25 mg/ml Oral Solution for Cattle,24745/4021,Enrofloxacin,,POM-V,Oral solution,Antimicrobial,ml,25,Fluoroquinolones,Oral Solution,
165,Mydiavac,43684/4000,Chlamydophila abortus,,POM-V,Emulsion for injection,Inactivated Bacterial Vaccine,,,,,
790,Deosan Summer Teatcare Plus ( 0.425% w/w ) Teat Dip and Teat Spray Emulsion,15985/4011,Chlorhexidine Gluconate,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
419,"Engemycin Spray, 25 mg/ml, Cutaneous Spray, Suspension for Cattle, Sheep and Pigs",01708/4545,Oxytetracycline Hydrochloride,,POM-V,"Cutaneous spray, suspension",Antimicrobial,,,,,
443,Closiver 5 mg/ml + 125 mg/ml Solution for Injection for Sheep,02000/4298,"Closantel, Ivermectin",,POM-VPS,Solution for injection,Endectocide,,,,,
447,"B. Braun Vet Care Hypertonic NaCl Solution (7.5 g/100 ml) Solution for Infusion for Horses, Cattle, Sheep, Goats, Pigs, Dogs and Cats",03551/4003,Sodium Chloride,,POM-V,Solution for infusion,Replacement Agent,,,,,
413,Florkem 300 mg/ml Solution for Injection for Cattle and Pigs,15052/4046,Florfenicol,,POM-V,Solution for injection,Antimicrobial,ml,300,Amphenicols,Injection,
453,Prid Delta 1.55 g Vaginal Delivery System for Cattle,15052/4047,Progesterone,,POM-V,Vaginal delivery system,Hormone sex,,,,,
459,Marbox 100 mg/ml Solution for Injection for Cattle and Pigs,15052/4048,Marbofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
466,"Cevaxel-RTU 50 mg/ml, Suspension for Injection for Cattle and Pigs",15052/4051,Ceftiofur,,POM-V,Suspension for injection,Antimicrobial,ml,50,3rd 4th cephalosporins,Injection,
428,Melovem 5mg/ml solution for injection for cattle and pigs,EU/2/09/098/001,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
442,Hiprabovis IBR Marker Live,EU/2/10/114/001-002 ,Infectious bovine rhinotraceitis virus,,POM-V,Lyophilisate for suspension for injection,Live Viral Vaccine,,,,,
471,Marbiflox 100 mg/ml Solution for Injection for Cattle and Pigs (Sows),01656/4023,Marbofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
478,Quiflor Multi 100 mg/ml Solution for Injection for Cattle and Pigs (Sows),01656/4055,Marbofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
602,"Taf Spray 28.5 mg/g Cutaneous Spray, Solution",16849/4051,Thiamphenicol,,POM-V,"Cutaneous spray, solution",Antimicrobial,,,,,
465,BTVPUR Suspension for Injection for Sheep and Cattle,EU/2/10/113/001-005 ,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
522,"Toltranil 50 mg/ml Oral Suspension for Pigs, Cattle and Sheep",01656/4035,Toltrazuril,,POM-V,Oral suspension,Antiprotozoal anticoccidial,,,,,
523,Nuflor 300 mg/ml Solution for Injection for Cattle and Sheep,01708/4574,Florfenicol,,POM-V,Solution for injection,Antimicrobial,ml,300,Amphenicols,Injection,
483,Norofas Pour-on Solution for Cattle,02000/4312,"Closantel, Ivermectin",,POM-VPS,Pour-on solution,Endectocide,,,,,
514,Norfenicol 300 mg/ml Solution for Injection for Cattle and Pigs,02000/4316,Florfenicol,,POM-V,Solution for injection,Antimicrobial,ml,300,Amphenicols,Injection,
530,Marbonor 100 mg/ml Solution for Injection for Cattle and Pig ,02000/4331,Marbofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
537,Deltanil 10 mg/ml Pour-on Solution for Cattle and Sheep,05653/4168,Deltamethrin,,POM-VPS,Pour-on solution,Ectoparasiticide,,,,,
507,Molemec Pour-on for Cattle 5 mg/ml Pour-on Solution,08327/4247,Ivermectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
533,"Glucose 5 g/100 ml B. Braun Vet Care Solution for Infusion for Cattle, Horse, Sheep, Goat, Pig, Dog and Cat",03551/4002,Glucose Anhydrous,,POM-V,Solution for infusion,Replacement Agent,,,,,
568,MoleEcto 12.5 mg/ml Pour-on for Sheep,00879/4085,Cypermethrin Cis 80:Trans 20,,POM-VPS,Pour-on solution,Ectoparasiticide,,,,,
573,Enrox Max 100 mg/ml Solution for Injection for Cattle and Pigs,01656/4067,Enrofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
524,Cefenil RTU 50 mg/ml Suspension for Injection for Pigs and Cattle,02000/4330,Ceftiofur,,POM-V,Suspension for injection,Antimicrobial,ml,50,3rd 4th cephalosporins,Injection,
546,Eprizero 5 mg/ml Pour-on Solution for Beef and Dairy Cattle,02000/4339,Eprinomectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
547,Robonex 5 mg/ml Pour-on Solution for Beef and Dairy Cattle,02000/4340,Eprinomectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
538,Baytril Max 100 mg/ml Solution for Injection for Cattle and Pigs,00010/4179,Enrofloxacin,,POM-V,Solution for injection,Antimicrobial,,,,,
561,Taurador 5 mg/ml Pour-on Solution for Cattle,02000/4358,Doramectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
378,Juramate 250 µg/ml Solution for Injection,25296/4001,Cloprostenol,,POM-V,Solution for injection,Prostaglandin,,,,,
505,"Enrotron 50 mg/ml Solution for Injection for Cattle, Pigs, Dogs and Cats",24745/4030,Enrofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,50,Fluoroquinolones,Injection,
598,"Tolracol 50 mg/ml Oral Suspension for Pigs, Cattle and Sheep",01656/4068,Toltrazuril,,POM-V,Oral suspension,Antiprotozoal anticoccidial,,,,,
587,Finadyne Transdermal 50 mg/ml Pour-on Solution for Cattle,01708/4608,Flunixin,,POM-V,Pour-on solution,Anti Inflammatory NSAID,,,,,
584,Spotinor 10 mg/ml Spot-on Solution for Cattle and Sheep,02000/4381,Deltamethrin,,POM-VPS,Spot-on solution,Ectoparasiticide,,,,,
617,Deltamole 7.5 mg/ml Pour-on Suspension for Cattle,01708/4609,Deltamethrin,,POM-VPS,Pour-on suspension,Ectoparasiticide,,,,,
618,"Cefimam DC, 150 mg Intramammary Ointment for Dry Cows",02000/4393,Cefquinome,,POM-V,Intramammary ointment,Antimicrobial intramammary,items,150,3rd 4th cephalosporins,Intramammary dry cow,
639,Solantel 50mg/ml Oral Suspension for Sheep,02000/4402,Closantel,,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
627,Tylucyl 200 mg/ml Solution for Injection for Cattle and Pigs,08007/4144,Tylosin,,POM-V,Solution for injection,Antimicrobial,ml,200,Macrolides,Injection,
979,Maximec 5 mg/ml Pour-On Solution for Cattle,34860/4010,Ivermectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
951,"Alfadexx 2 mg/ml Solution for Injection for Horses, Cattle, Pigs, Dogs and Cats ",36408/5008,Dexamethasone,,POM-V,Solution for injection,Anti Inflammatory corticosteroid,,,,,
842,"Baycox Multi 50 mg/ml Oral Suspension for Cattle, Pigs and Sheep",00879/4114,Toltrazuril,,POM-V,Oral suspension,Antiprotozoal anticoccidial,,,,,
651,Tauramox 5 mg/ml Pour-On Solution for Cattle,02000/4406,Moxidectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
680,Oxyfluke 34 mg/ml Oral Suspension for Cattle and Sheep,02000/4422,Oxyclozanide,,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
947,Glucose 40% w/v Solution for Injection,36408/4013,Glucose Anhydrous,,POM-VPS,Solution for injection,Replacement Agent,,,,,
948,Willcain Solution for Injection,36408/4014,"Epinephrine, Procaine Hydrochloride",,POM-VPS,Solution for injection,Neurological Agent local anaesthetic,,,,,
981,"Glucadex 2 mg/ml Solution for Injection for Horses, Cattle, Pigs, Dogs and Cats",36408/5008,Dexamethasone,,POM-V,Solution for injection,Anti Inflammatory corticosteroid,,,,,
723,"Tuloxxin 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",01656/4150,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
724,"Tulaxa 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",01656/4151,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
577,Intra Hoof-Fit Gel 40 mg/g + 40 mg/g Gel for Dairy Cattle,41870/4000,"Copper, Zinc",,AVM-GSL,Gel,Mineral,,,,,
707,"Tylovectin 200 Solution for Injection for Cattle, Goats and Pigs",48469/4000,Tylosin,,POM-V,Solution for injection,Antimicrobial,,,,,
726,NASYM,EU/2/19/241/001-004,Bovine respiratory syncytial virus,,POM-V,Lyophilisate and solvent for suspension for injection,Live Viral Vaccine,,,,,
770,Flovuxin 300/16.5 mg/ml Solution for Injection for Cattle,01656/4190,"Florfenicol, Flunixin",,POM-V,Solution for injection,Antimicrobial; Anti Inflammatory,,,,,
743,"Tulieve 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep ",02000/4441,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
717,Moxidectin Oral (Chanelle) 1 mg/ml Oral Solution for Sheep ,08749/4088,Moxidectin,,POM-VPS,Oral solution,Endectocide,,,,,
718,Moxodex 1 mg/ml Oral Solution for Sheep,08749/4089,Moxidectin,,POM-VPS,Oral solution,Endectocide,,,,,
764,"Primopen 300 mg/ml Suspension for Injection for Cattle, Pigs and Horses ",11557/4005,Procaine Benzylpenicillin,,POM-V,Suspension for injection,Antimicrobial,ml,171,Penicillins,Injection,
750,"Oxtra DD 100 mg/ml Solution for Injection for Cattle, Sheep, Pigs, Horses, Dogs and Cats",11557/4007,Oxytetracycline,,POM-V,Solution for injection,Antimicrobial,ml,100,Tetracyclines,Injection,
760,Cocci-Drench 2.5 mg/ml Oral Suspension,00879/4095,Diclazuril,,POM-VPS,Oral suspension,Antiprotozoal anticoccidial,,,,,
768,"Molecoxan 2.5 mg/ml Oral Suspension 
",00879/4096,Diclazuril,,POM-VPS,Oral suspension,Antiprotozoal anticoccidial,,,,,
645,CLiK Extra 65 mg/ml Pour-On Suspension for Sheep,00879/4003,Dicyclanil,,POM-VPS,Pour-on suspension,Ectoparasiticide,,,,,
673,CIDR OVIS 0.35g Vaginal Delivery System for Sheep,42058/4206,Progesterone,,POM-V,Vaginal delivery system,Hormone sex,,,,,
779,Duphafral Extravite Solution for Injection,42058/4040,"Ascorbic Acid , Nicotinamide, Pyridoxine Hydrochloride, Riboflavine Sodium Phosphate, Thiamine Hydrochloride",,POM-VPS,Solution for injection,Vitamin,,,,,
804,"EmpraSan Optima, 2.0 % w/v, Concentrate for Teat Dip / Teat Spray Solution",21357/4023,Iodine,,AVM-GSL,Concentrate for teat dip/spray solution,Antiseptic,,,,,
817,"Cefquinor LC, 75 mg Intramammary Ointment for Lactating Cows",02000/4388,"Cefquinome, Cefquinome Sulphate",,POM-V,Intramammary ointment,Antimicrobial intramammary,items,75,beta,Intramammary lactating cow,
714,Neoiven 500 000 IU/g Powder for Use in Drinking Water/Milk Replacer,48749/4000,Neomycin,,POM-V,Powder for use in drinking water/milk,Antimicrobial,g,655,Aminoglycosides,Oral Powder,
276,Bimectin 1% w/v Solution for Injection,50146/4002,Ivermectin,,POM-VPS,Solution for injection,Endectocide,,,,,
385,"Bimectin Plus, 10/100 mg/ml Solution for Injection for Cattle",50146/4003,"Clorsulon, Ivermectin",,POM-VPS,Solution for injection,Endectocide,,,,,
511,Multishield DC Intramammary Suspension for Cows,50146/4005,"Neomycin Sulphate, Penethamate Hydriodide, micronised, Procaine Benzylpenicillin",,POM-V,Intramammary suspension,Antimicrobial,items,379.7,Multiple actives,Intramammary dry cow,
705,Bimeprine 5 mg/ml Pour-on Solution for Cattle,50146/4007,Eprinomectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
624,"Tetroxy Vet 200 mg/ml Solution for Injection for Cattle, Sheep and Pigs",50146/4008,Oxytetracycline,,POM-V,Solution for injection,Antimicrobial,ml,200,Tetracyclines,Injection,
105,"Bimoxyl LA, 150 mg/ml Amoxicillin, Suspension for Injection",50146/4010,Amoxicillin,,POM-V,Suspension for injection,Antimicrobial,ml,150,Penicillins,Injection,
125,"Cronyxin Injection, 5% w/v Solution for Injection",50146/4011,Flunixin,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
597,Bilovet 200 mg/ml Solution for Injection for Cattle and Pigs,50146/4016,Tylosin,,POM-V,Solution for injection,Antimicrobial,ml,200,Macrolides,Injection,
501,Ectofly 12.5 mg/ml Pour-on Solution for Sheep,50146/4017,Cypermethrin Cis 80:Trans 20,,POM-VPS,Pour-on solution,Ectoparasiticide,,,,,
313,Endofluke 100 mg/ml Oral Suspension,50146/4018,Triclabendazole,,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
591,Fly Off 12.5 mg/ml Pour-on Solution for Sheep,50146/4019,Cypermethrin Cis 80:Trans 20,,POM-VPS,Pour-on solution,Ectoparasiticide,,,,,
662,"Vetroxy LA 200 mg/ml Solution for Injection for Cattle, Sheep and Pigs",50146/4021,Oxytetracycline,,POM-V,Solution for injection,Antimicrobial,ml,200,Tetracyclines,Injection,
362,Bimamix Oral Suspension for Calves,50146/4022,"Neomycin, Sulfadiazine",,POM-V,Oral suspension,Antimicrobial,ml,175,Multiple actives,Oral Solution,
601,Dectospot 10 mg/ml Spot-on Solution for Cattle and Sheep,50146/4023,Deltamethrin,,POM-VPS,Spot-on solution,Ectoparasiticide,,,,,
127,Endospec SC 10% w/v Oral Suspension,50146/4025,Albendazole,,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
87,Bimotrim Co Injection Solution for Injection,50146/4027,"Sulfadoxine, Trimethoprim",,POM-V,Solution for injection,Antimicrobial,ml,240,Trim-sulph,Injection,
91,Tetroxy L.A. 200 mg/ml Oxytetracycline Solution for Injection,50146/4028,Oxytetracycline,,POM-V,Solution for injection,Antimicrobial,ml,200,Tetracyclines,Injection,
801,Combiclav Lactating Cow Intramammary Suspension,02000/4240,"Amoxicillin, Clavulanic Acid, Prednisolone",,POM-V,Intramammary suspension,Antimicrobial intramammary,items,200,beta,Intramammary lactating cow,
288,Ovidrench S & C 2.5% w/v Oral Suspension for Cattle and Sheep,50146/4033,Albendazole,,POM-VPS,Oral suspension,Anthelmintic,,,,,
540,Vectocert 1.25 % w/v Pour-on Solution for Sheep,50146/4037,Cypermethrin Cis 80:Trans 20,,POM-VPS,Pour-on solution,Ectoparasiticide,,,,,
900,"Increxxa 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",52127/5030,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
901,Kexxtone 32.4g Continuous-Release Intraruminal Device for Cattle,52127/5032,Monensin,,POM-V,Continuous-release intraruminal device,Gastrointestinal metabolic,,,,,
722,Supremadex 10 mg/ml+100 mg/ml Solution for Injection for Cattle,50146/4038,"Clorsulon, Ivermectin",,POM-VPS,Solution for injection,Endectocide,,,,,
957,Bimprocil 300 mg/ml Suspension for Injection for Cattle Sheep and Pigs,50146/4040,Procaine Benzylpenicillin,,POM-V,Suspension for injection,Antimicrobial,ml,175.8,Penicillins,Injection,
958,Procipen 300 mg/ml Suspension for Injection for Cattle Sheep and Pigs,50146/4041,Procaine Benzylpenicillin,,POM-V,Suspension for injection,Antimicrobial,ml,100.2,Penicillins,Injection,
765,"Macrosyn 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",50146/4042,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
997,Bimacure 500mg Intrauterine Suspension for Cattle,50146/4045,Cefapirin,,POM-V,Intrauterine suspension,Antimicrobial,items,500,1st 2nd cephalosporins,Intrauterine,
815,Norador 5 mg/ml Pour-on Solution for Cattle ,02000/4359,Doramectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
816,Doranor 5 mg/ml Pour-on Solution for Cattle ,02000/4360,Doramectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
985,"Recocam 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",50146/5000,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
738,"Sympagesic 500 mg/ml + 4 mg/ml Solution for Injection for Horses, Cattle, Pigs and Dogs ",50406/4008,"Hyoscine Butylbromide, Metamizole sodium monohydrate",,POM-V,Solution for injection,Neurological Agent muscle relaxant,,,,,
751,"Calmino Vet, 380/60/50 mg/ml Solution for Infusion for Cattle, Sheep and Pigs",51467/4000,"Boric Acid, Calcium Gluconate Monohydrate, Magnesium Chloride Hexahydrate",,POM-V,Solution for infusion,Mineral,,,,,
959,"Butasal 100 mg/ml + 0.05 mg/ml Solution for Injection for Horses, Cattle, Dogs and Cats ",51467/4002,"Butafosfan, Cyanocobalamin",,POM-V,Solution for injection,Vitamin; Mineral,,,,,
758,Pneumovac Suspension for Injection for Cattle,51609/4000,"Bovine parainfluenza virus 3, Bovine respiratory syncytial virus, Mannheimia haemolytica",,POM-V,Suspension for injection,Inactivated Viral and Bacterial Vaccine,,,,,
759,Pneumovac Plus Suspension for Injection for Cattle,51609/4001,"Bovine parainfluenza virus 3, Bovine respiratory syncytial virus, Bovine viral diarrhoea virus, Mannheimia haemolytica",,POM-V,Suspension for injection,Inactivated Viral and Bacterial Vaccine,,,,,
960,Rhinovac IBR Marker live Lyophilisate and Solvent for Suspension for Injection or Nasal Spray for Cattle,51609/4002,Infectious bovine rhinotraceitis virus,,POM-V,Lyophilisate and solvent for suspension for injection,Live Viral Vaccine,,,,,
899,Zolvix 25 mg/ml Oral Solution for Sheep,52127/5029,Monepantel,,POM-VPS,Oral solution,Anthelmintic,,,,,
821,Closone 50mg/ml Oral Suspension for Sheep,02000/4403,Closantel,,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
961,Novocillin LC 1000 mg Intramammary Suspension for Lactating Cow ,52644/3000,Oxacillin Sodium,,POM-V,Intramammary suspension,Antimicrobial intramammary,items,1000,Penicillins,Intramammary,
962,"Bromhex-Air Forte 25 mg/g Oral Powder for Cattle, Pigs, Chickens, Turkeys and Ducks",52644/4000,Bromhexine Hydrochloride,,POM-V,Oral powder,Respiratory mucolytic,,,,,
485,"Loxicom 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",EU/2/08/090/010-018 ,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
963,"Tulaject 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",54375/4000,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
223,"Locatim, Oral Solution for Neonatal Calves less than 12 hours of age",EU/2/99/011/001,Bovine concentrated lactoserum,,POM-VPS,Oral solution,Lactoserum,,,,,
543,Meloxidolor 40 mg/ml solution for injection for cattle and horses,EU/2/13/148/006-007,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
805,Flukiver Bovis 50 mg/ml Solution for Injection for Cattle,00006/4153,Closantel,,POM-VPS,Solution for injection,Anthelmintic,,,,,
786,Duphacycline LA 20% Solution for Injection,42058/4039,Oxytetracycline,,POM-V,Solution for injection,Antimicrobial,ml,200,tetra,Injectable,
843,Prolusyn 50 micrograms/ml Solution for Injection for Cattle,54400/4000,Gonadorelin,,POM-V,Solution for injection,Hormone sex,,,,,
964,Fixplan 200 IU/ml Lyophilisate and Solvent for Solution for Injection,54400/4001,Serum Gonadotrophin,,POM-V,Lyophilisate and solvent for solution for injection,Hormone sex,,,,,
965,DIB 1.0 g Vaginal Delivery System for Cattle,54400/4002,Progesterone,,POM-V,Vaginal delivery system,Hormone sex,,,,,
283,Pirsue 5 mg/ml Intramammary Solution for Cattle,EU/2/00/027/001-003,Pirlimycin Hydrochloride,,POM-V,Intramammary solution,Antimicrobial intramammary,items,50,Lincosamides,Intramammary,
329,"Draxxin 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",EU/2/03/041/001-005,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
326,Novem 20 mg/ml Solution for Injection for Cattle and Pigs,"EU/2/04/042/003-006,011-014",Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
