id,field_id,pasturetype_id
748,964d9eb8-6a76-47f1-afa4-3de07439d890,2
753,e04a90d3-c69b-4f21-94ec-a9ef9d036562,2
760,ae7df56d-72b0-411c-a760-886f754cd8b6,2
767,4c03eea9-9484-4191-86d5-1051b816cf5d,2
771,8a92dcb3-a582-45d9-a240-8c2cd889ebdf,2
772,b7e75c4f-4098-4bc1-bb4d-b25157082717,2
782,6af223ba-4057-42e9-9373-e14de12e8744,2
787,7d8bd9d2-86cf-4461-967b-486d4e943ac3,5
788,e251c43d-4ae0-4ebc-9bd5-dadb82ad033f,4
797,19802d94-ce03-40c0-89a4-58357a737fb8,5
820,ed89581c-562d-43c7-a024-3cf0965c15ba,5
823,21825524-cdd6-45ce-9606-2042588207be,5
838,5caf1e33-fe06-45bd-8ccc-abe1e6f1db0a,2
841,8d0c6bf6-e53f-43b9-b753-974137854d28,2
850,26d1f4b0-ad00-459c-b221-37f8d650a0c4,2
852,ddfe1c24-d63f-4c70-8d7d-8ef2b86f805e,2
865,5f626fef-d1aa-46ce-a931-e4d517f07010,2
872,4c6cd85e-e0f0-4f45-813d-099ba3fcdf8f,2
879,4d4d2d86-e33a-4dd1-93fb-e3e53be20bfe,2
892,afeca8d5-799f-4b51-bbd6-57f963959619,4
893,6b314855-9e52-4803-a233-bda7602b1114,4
898,9b76404f-d039-45c5-a8b0-62de8137d3db,2
903,b1355d6c-d97e-42b6-b960-3fa6200cd500,2
907,1499fe04-eb48-4f5e-a7e1-53e9dea17758,5
919,3a9fe64a-0382-478d-b29c-989e01ce2913,5
923,74a8df9e-3d63-46f2-abcb-41997ac94dd6,5
929,984c10fb-3c90-4b82-9f33-bfb682a8cf75,5
953,f29c0000-e2a2-4d29-8ab9-cca3e947cd47,4
961,1bcdafa8-7709-444f-b051-f836ae6d8f9b,2
972,87ed1132-96e3-4731-be81-2a5f2ad391f5,2
974,de5baa05-2216-426f-a440-90412ee8abae,5
987,827207c2-09b3-4f8a-8767-7e853fc1909d,2
988,8ac970d8-1d64-4c74-b0f9-cac447970860,2
998,0cd825c7-6e86-497a-99bf-4f19e397d3d7,4
1002,6f1a94ed-9ae9-4709-a869-4e6b12536b48,2
1005,707952af-7b14-43e4-91ce-c8235fd833e8,4
1018,972e6c37-e64e-481e-bade-fe146c70083c,4
1025,d03413e0-d34c-4c04-9263-8cc01dd909f7,2
1051,e2929c41-52b3-4fd8-b992-a9a54a661658,2
1084,96220360-176f-44e2-83df-0531dd8216e0,4
1090,00847c8c-24b0-432e-b522-6c568394384d,2
1278,16302646-8389-471e-ad8b-b40c711ecb2d,2
1109,31685ea6-d895-4add-8bfd-c6dc0a582711,5
1126,73d33be3-a4f0-460c-96c2-c6e4bced1136,2
1134,cbef810c-f554-4fe4-a264-2dcb2d6fa27e,5
1141,764c316c-5d67-457c-b74a-903dcea8e917,5
1145,92d54376-402b-4c05-aeef-bf6ae911bab6,4
1146,7f35a0c0-4ba5-4feb-a20f-8868ad3c2099,2
1148,cf14cbcc-1ef8-43bf-ad91-56e5b0940702,5
1149,d85dca1f-8710-48a7-82d1-85b98d69eb36,6
1153,bab7e58a-8fa9-491f-a97b-b27200e5721a,5
1155,e6cd98e2-ee66-4412-962f-555b2258fc58,4
1158,0920a811-69ad-4315-898c-c56320f0d363,6
1173,62c178eb-456e-4221-b47c-b7e7cad026a1,5
1184,0c0522a9-296f-4ccb-bbe6-9b7fd9af0158,5
1191,38a976f4-773c-45b5-adb4-2257ec6ca694,5
1196,18f1cdb8-c810-4378-a954-80942ae11479,4
1209,835fa969-f51f-43e2-84bb-49290bb9444e,5
1212,91bcd33f-5e22-4058-aa2b-5771d11a97f6,4
1219,36be5bf4-a65b-454d-b965-527d6dc00b8a,4
1232,e2b2849f-e6ca-4812-93b4-be592a0cbf15,2
1256,49526ace-0a33-4977-bd72-7d736a917d66,4
1261,db901def-5d1d-4e44-b7a5-a9c0b513570a,6
1264,25851c48-6a4e-4912-8100-557adfaba1ae,6
1266,b5ee1f16-3b87-43e7-b926-aa9d7ecd3442,5
1270,f7f432ca-37d9-466e-87f4-1f896ab2d07e,2
1271,236c7159-ad85-4edb-8262-f9e391a8c270,5
1283,0fa4e4b5-2650-4830-99be-0a57881a4412,2
1284,72e59f74-ef12-40c1-a4b9-c4d5b5d98d05,2
1287,fd70854b-00c9-4e03-a5a9-0fe4dd316646,2
1289,037e54bd-a7be-4e7e-a975-1c92b911b563,2
1292,0a70468f-f5e5-499c-ae79-28cf4030a95f,2
1294,fde54d22-505e-44a5-a840-3992853aaf39,2
1324,a6af0413-c1f5-4d55-b430-b973a4b095da,2
1334,ef777cf9-355d-4db8-b592-68d5edd2d3a4,5
1346,bb25c67c-83a0-4072-9e92-f57137f6a7a6,4
1386,1d1dbd12-4a07-40d7-bf1d-278b110248e1,5
1391,3d2535a2-ec25-4ec5-ad8e-f07101372334,2
1395,597c0d37-1a23-41e7-89eb-4691b165f0b1,1
1402,5cb27a89-dcda-4c28-b68f-38d159a96717,5
1408,a13ac34c-f64c-4cff-a643-c440987dd073,2
1414,c6d41467-361a-4af9-a8ea-fa3110750e3e,5
1423,edc5f545-b7a7-4470-9061-0188196a8b05,2
1475,4c545d54-d74f-45e3-8dd8-fab1f05ce82a,2
1484,bb017afd-bd80-42bb-bc95-f2db3bc9c87f,4
1486,ba8ab31e-d604-463b-b2d9-3c3b54dfdf8c,4
1489,153971ba-514f-41cb-97b5-ee5c231826db,6
1495,d052c733-f168-4ada-a806-383ffa0e1bea,2
1524,ace6c579-12a1-4f69-847e-07f4282e3d1e,4
1528,3c197ebb-7806-4bd1-846f-087be4e0dd6d,5
1555,b72d0332-53f0-4c7d-b0d8-68ccfa80391c,2
1558,0f0535ef-1548-4368-b248-52fe9862f481,4
1559,7f3fc201-00c9-466f-928c-59273f7309d7,5
1563,21bb56f3-b8f6-437c-83cd-0561f9e83e32,5
1570,e8182166-6459-45e3-a09f-4cbc0bdb9962,6
1577,4249835e-8d4a-45f8-b54c-47b698e9456f,5
1587,fe10408d-351a-46cc-8a61-49261b5b5dee,2
1601,372f3b1a-a491-4557-8d71-dd9955379764,5
1630,9f625ff7-9665-47a5-8fbd-eec48bcd7552,5
1635,7615dc1e-9cec-4fc9-828d-60742bbcd075,2
1648,92eb0205-25ec-4883-ac3a-508cf92ee14e,5
1660,e0838132-3082-46c1-aace-e93e3b43a785,2
1666,8972a6fb-2a69-4284-b33d-e1a7df85e70f,6
1670,a4720020-b341-42cf-b7d4-dce046531de5,5
1683,1bcfdf7c-fdff-4bfa-815d-8ec01336b71f,2
1689,7f3150d9-670f-45e1-9bf3-c8cabd84bdd5,2
1713,d77bd3bd-fb88-4a0e-9f84-cfb31cab435f,6
1717,45ff6120-2721-4b74-9767-41be5acdb577,6
1729,6e2dcc95-27e9-41e9-bcdb-714bd818f159,5
1736,af01162e-b254-4b2f-a429-54c76fb3d2ea,4
1745,9cda3723-ab64-4a97-a175-cf4979941fc7,2
1747,615922b4-7f6d-4ee3-9740-0b055d662cbd,5
1748,ebf93b17-9238-4901-822b-893cc98903c9,2
1763,8c92de20-c6ed-40d2-9df0-20e86044b13f,5
1766,67219eed-a910-4893-9889-1137ca5f55c8,5
1778,478a434e-94f7-4803-86bb-f16609eb88f2,2
1793,d7fbeb0c-f9f6-4c7d-b510-f951ede5f09a,2
1806,e331156f-cad2-4d86-bab0-d7765cfde44e,2
1812,ea9ab9b6-22f6-4915-891b-f1d6c82fe4dd,5
1832,ea2188c1-5060-4782-864c-a04079eb0428,5
1842,f4fa9c56-77f4-45de-a0c5-130331bad0e2,5
1851,bffc34d5-76c2-4abd-8522-6d07212fcbfe,2
1852,1e2585eb-b660-4f32-88fa-1b35c9c8ee96,2
1869,847ff71a-d85d-4d74-a793-7498992f2a11,2
1877,1e09478c-a9e3-435a-ae10-2fe160d2b1d5,5
1879,e00c4f28-8fa9-4ac9-9048-da1182a15e30,5
1887,3abe852c-d7b5-4f06-bfbd-4eb8dbcbff63,5
1900,22757689-8514-4187-9cbc-4bd887320a64,4
1916,bd751eff-766d-44d4-9760-92461026bd7a,2
1921,5ac7e18b-bebc-496d-bc31-eb0e53dce3be,5
1923,30cbe2fa-603f-4cc6-9ecf-937df38e1356,2
1929,fa828401-a69a-4aa5-8fe8-aea978cc5da5,2
1934,95231607-00e4-4716-993f-39de7880701c,5
1939,3e8e8ab3-2341-4aac-9091-2e5a0cdb741a,5
1961,f119c656-9f30-4140-9f43-fcf5537100ff,5
1962,7c6cd56b-02cc-44c2-b285-c392911f3dd2,5
1980,d10cbf09-f09f-4a9e-b24f-aaec5c7fa255,5
1985,bcb43d3d-ad25-4cd4-bc20-d0bab4234ae6,2
1998,7ed0ccc2-7901-4d86-bd29-c469f1216a53,4
2005,58ad3493-0a71-4881-9754-b3d224e09dbb,5
2011,e315e09d-19f8-4e1b-bbda-ba7cf8b1a213,6
2015,30cc510c-2012-4894-9fa3-5f8f64c2217b,5
2021,6e26effb-d576-4998-903e-eba55035704e,5
2028,167f6c55-9033-485d-af36-1a05e930f3d8,5
2029,57462c68-b7e5-4a68-8538-73e760957cfb,2
2038,a516653f-8214-4462-9c23-a8d0eeed1268,5
2045,1cef1b9a-c39c-49b0-bcc3-f2166aeb85fe,6
2052,99ca0c49-1523-4356-87c9-55adae9ee17b,4
