id,char_value,int_value,animal_id,tag_id
e7d44346-740d-4122-8211-bc39b5f778bb,,0,49122c85-c7e7-4c14-b789-01facd490b2b,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
8198442f-fb4e-4d53-8b91-7c89aae49607,,0,dd5a21f8-7431-4713-ae6b-7b8bf03d74e0,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
43776d49-1d4f-4701-a35a-6cd2cfa4a43f,,0,ead07cf1-8194-478d-a480-be209599e95e,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
cb96b056-6bf4-4545-88f9-1918054c8714,,0,92791ba9-9ef0-428c-8491-94a3d68cd64c,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
f670e4e7-b0b6-4b21-bdf2-c240d519e642,,0,f72c65b9-046d-4017-996c-06a1c692ad07,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
03d70663-f47e-4d9d-ac98-1989ff0e0b64,,0,3ffa7e4d-232c-4d1d-b146-90ea8aa42803,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
8e10b9f0-ab3e-436c-8572-ea4e31f20bdf,,0,a1075b21-93bf-4250-83a2-27a2f1dfc7f7,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
cdd31e42-9f0a-4ac9-ac2a-bb1dc4c8741d,,0,e23b1341-3436-4815-a65e-69f3eb8c1046,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
c83cb1bf-f7b4-4dc0-b247-22297e41aa6e,,0,a7ca25f7-d17f-41ce-9f6a-f9df97c5b5d5,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
f31fe9d5-a79d-4011-8656-80739ac214c0,,0,e145607d-f135-4900-a295-61773942a02c,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
a2637d13-f3c9-45b7-852c-3ba2564eb729,,0,18082121-85e5-4058-97cd-572766f087d5,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
953403ef-833d-47b9-b804-7513be9f37ca,,0,4b315846-1c64-455c-9121-6e27c1dc4d9e,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
6a8ff705-d084-4ce9-9dee-4070ab23a3e1,,0,3cbdf922-6d25-4a37-96de-2c76d8e27744,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
8329e6d3-ab5c-4166-bd4c-8355c1dde5ac,,0,f017d746-ba14-4e49-b447-a3386c36c339,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
c8d067de-234b-4aae-887f-c05617fe64f2,,0,abc94438-9ef6-47a6-9647-2a4c0111fe99,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
68199411-19d2-46ee-9da1-4f811c2aedf9,,0,ee6baaff-0973-4bbd-950a-25e1b8fd9ffc,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
2d2d8a6e-0a6c-4d37-9e29-972208d9dc1e,,0,66de2643-672c-42f4-aa55-0cb8af9bb980,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
b0594f93-eecf-40de-ab2d-737e10e36cff,,0,2beefdc0-2da5-4ae5-9880-8b20ff078794,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
c87fa388-727c-45fa-bea7-05f4a3ffe222,,0,d105e5cb-b6f8-4b0d-88cd-281fc47e0217,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
cc289c83-a06e-48d8-bd58-d15a79910c15,,0,6e05d9d5-6117-4125-9f4f-e822e8849b14,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
eee20980-e2ff-40f3-ba17-b8cdfbad208d,,0,ecb4d09b-7f83-4b96-9596-74e087374223,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
972cb8c2-1fe7-49b9-8d98-6ec1de112579,,0,6f4331c8-c8f0-4235-a5e9-f26b2b3cf2a5,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
6067516e-e905-4391-bb35-b7a2de90a5ad,,0,1493f341-3231-4c9c-950c-c623e9c53516,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
1bcfc247-f41f-483e-8401-d097c720749b,,0,948ac2a7-1ca1-4ac8-8d25-7c93a0f6e5b6,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
ba7e02fb-64ea-4fc5-be0a-6af58ad3b61f,,0,8359768c-46c9-42c5-83ab-58c32b1913ca,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
144b843b-7134-41fd-9a85-ce0e4769a92e,,0,429ecd7c-7c76-4a7e-8ea2-a84b6db136b4,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
a7a9eb66-a7ba-4e72-b19c-64004be766fc,,0,3e8f638b-9280-49e7-82e8-bb295905f0dd,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
0ee940a9-d193-4eb4-a679-229f4cb65abb,,0,31eac5fd-2662-4c6b-8c19-c5278b07e200,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
fb212119-1fff-42b1-ba2e-6983044c3511,,0,80a38c8e-29a8-4129-9cf8-4d45b712730c,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
d476d5fd-9c50-49a3-a228-712d85be1d51,,0,5b34f6b4-21f5-4ead-b8db-21a17ba34064,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
db624bc8-131a-4260-8940-ceb9a43a0af3,,0,6355ee6d-2b7f-41ef-a572-680669f2c8e8,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
ae39a366-619a-4387-89c9-90597665dc8a,,0,204c79ea-7f9a-443f-866f-6005b2594f18,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
50f54ecb-9d85-4591-b0de-cefe3f8df2b3,,0,10505166-001b-47f2-b1e8-cbd9f1405ff1,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
e70aaf2d-69d4-46c7-b488-ca0ad3c38534,,0,f2176e41-fb91-49b8-8d38-e7e6dc426909,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
e9afe15f-3ddb-465c-8e72-604248b603d9,,0,74c7e86f-14d9-4ca4-85c8-02fbbdc21fec,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
a5d48039-05eb-41b0-965f-e0b9719aa296,,0,73aac93a-bd7f-4e42-8843-5b6fa9356360,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
faf0521f-bcb9-4ffa-a99a-199138c878b7,,0,ee195c95-8a17-484b-905a-e51ba97db105,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
0fcccd90-c343-424d-9cdf-79fc9c344c02,,0,271c4d38-15d9-48ac-9d7c-f50f342d820e,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
77fe4bfa-c2e8-4eb3-bbf2-5eb500d86fa7,,0,94ef4975-18ad-47fc-ad00-47860bfe378d,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
ba3462d6-062d-4a79-8a04-21e5345d3480,,0,8cb7b10f-7ecd-441a-bd83-48b7551a382f,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
2b32f716-a9fa-4397-8943-3c6869889011,,0,ead78669-f157-494e-9345-a6a9d45ce623,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
b6d78d36-dfc2-4239-bbf1-ec7edbfd4826,,0,4df4bf16-ae17-462f-8f08-d54c9155eea1,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
bfc11da1-5a48-4c33-aef6-300b52eb4048,,0,86713e67-6161-41a8-95f8-f95c594dbb50,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
fe41d832-eeb2-41aa-a61d-bdba82f57337,,0,d5328262-ba23-45e6-8fb1-b7ef77d100a1,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
93790f7c-71b4-40db-8a56-20adcf9997f4,,0,ef16d4b4-7d59-4678-b45c-05e8eb6e0f72,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
75715283-30ee-4b5c-a7ed-c8dc1aaa9a3c,,0,9752003e-df4a-483c-ac38-ca254b62cb3a,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
6a3b9ee3-91da-4efd-bb48-9c54556eb83d,,0,7b7a7362-09be-4ab1-8de1-f0241d79eb80,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3
