animal_id,brucellosis_id,trich_id,tsu_barcode,pedigree_id,tattoo,herd_dogg_id,uhf_id,breedr_id,alternative_id
19903d5a-b968-41d5-a557-e322ab77775c,,,,,,,,B-2301-GB037K-5K77R0,
00356f48-595c-4084-904a-814b6f9d0ba3,,,,,,,,B-230N-GB037K-GGJTKR,
1afce454-f7ae-40e2-9377-29f189fe0083,,,,,,,,B-230G-GB037K-0KTLFZ,
3769fe44-8393-4fff-a46c-a8e88b86fa0a,,,,,,,,B-2303-GB037K-4Q08M8,
7236d2de-605d-48f3-8aab-b565d7ed1308,,,,,,,,B-230Q-GB037K-BF562F,
599b5295-1660-48f7-8b1b-61494fe7fb8f,,,,,,,,B-230C-GB037K-CGM6B9,
54312981-5301-421f-94cd-85781227e1a5,,,,,,,,B-230S-GB037K-LFYVN7,
8958cdf4-8485-46e8-9bfe-e3a0fedfd9c6,,,,,,,,B-230Y-GB037K-T7Q43V,
ece8071f-80b9-44b2-b343-1056e4a79dfd,,,,,,,,B-2303-GB037K-81GV66,
1214fada-f7ac-49f6-9fee-05ef8a6656d6,,,,,,,,B-2307-GB037K-7L0NQY,
1b240021-f1cc-447c-874c-a243e4669aa9,,,,,,,,B-230K-GB037K-BJ7038,
1ada7dfa-25d4-4c80-b306-cef23c2b77af,,,,,,,,B-230N-GB037K-X2NS6Y,
491059e2-2ef6-4f1d-83ce-2d6511898780,,,,,,,,B-230R-GB037K-89P8MJ,
33a6e4d7-3dec-48b1-8024-5d1ddc66a318,,,,,,,,B-230J-GB037K-HMNS8M,
f86db5a5-8383-4e08-b700-96a68ef1e36c,,,,,,,,B-230S-GB037K-T807PP,
b29855ea-fc76-473a-8eae-ef265ff062f0,,,,,,,,B-230V-GB037K-W8DBBK,
9752003e-df4a-483c-ac38-ca254b62cb3a,,,,,,,,B-230B-GB037K-KHDY7M,
285cade1-158a-4875-8602-002fd7bfc4b6,,,,,,,,B-2307-GB037K-G82W77,
2cc23a10-8a6c-4815-81e9-5c71c7a77914,,,,,,,,B-2308-GB037K-TJ08G3,
44f4590e-5c01-43f9-8ca9-c1612bc47d5b,,,,,,,,B-2302-GB037K-H384R7,
21d3b7c7-03e3-4738-a154-50b6eb3355c0,,,,,,,,B-230B-GB037K-L1J12Z,
ead07cf1-8194-478d-a480-be209599e95e,,,,,,,,B-230D-GB037K-JF7YY7,
