id,lot_number,kill_number,centre_name,centre_number,kill_date,side_1_weight,side_2_weight,carcass_cold_weight,condemned_weight,price,condition,buyer,conformation,european_category,animal_id,hot_weight,fat_class,grading,note,value,killsheet_upload_id
44109,9.0,7 - 009595,,,2024-04-02,,,298.6,,,,CENTRE NAME B,-O,,ce4d4f46-2b0a-4a6e-9ab5-679659c5557a,,4L,-O4L,,,
44115,9.0,7 - 009600,,,2024-04-02,,,265.8,,,,CENTRE NAME B,-O,,4df4bf16-ae17-462f-8f08-d54c9155eea1,,O3,-O3,,,
44120,9.0,7 - 009605,,,2024-04-02,,,259.7,,,,CENTRE NAME B,-O,,65abafdc-a9b7-4f94-83ec-4bb255e44ec1,,O2,-O2,,,
44129,9.0,7 - 009614,,,2024-04-02,,,259.1,,,,CENTRE NAME B,-O,,2cc23a10-8a6c-4815-81e9-5c71c7a77914,,O3,-O3,,,
44134,9.0,7 - 009624,,,2024-04-02,,,241.8,,,,CENTRE NAME B,-O,,417225e4-d671-486f-853e-685e0fa8c4d1,,O3,-O3,,,
44139,9.0,7 - 009642,,,2024-04-02,,,270.1,,,,CENTRE NAME B,-O,,b8fef6d0-3114-4471-8203-fe0b324cf97b,,O3,-O3,,,
44140,43,7 - 006581,,,2024-02-13,,,229.0,,,,CENTRE NAME A,-O,,65f487a5-84e6-477b-a155-72076465193a,,4L,-O4L,,,
44141,43,7 - 006583,,,2024-02-13,,,247.2,,,,CENTRE NAME A,O+,,04f40950-8f7b-4a22-a185-b632991f5d1a,,+3,O+3,,,
44148,43,7 - 006605,,,2024-02-13,,,253.4,,,,CENTRE NAME A,O+,,d105e5cb-b6f8-4b0d-88cd-281fc47e0217,,4L,O+4L,,,
44156,25,7 - 005461,,,2024-04-23,,,265.2,,,,CENTRE NAME A,-O,,52986aaa-9c04-4bfa-bfa1-4f19f07681cf,,O2,-O2,,,
