Unique Ref,Tranche,Level 1,Level 2,Level 3,Level 4,Complex Type,Attribute,Description,Mandatory ?,Data Type,Accepted Values,Validation,Drop-Down/Metaval
267,POLICY,Policy,instalmentBookDetail,n/a,n/a,instalmentBookDetail,loanAmount,Value in pence. MSG - Outstanding instalment payments,Mandatory,long,,,
268,POLICY,Policy,instalmentBookDetail,n/a,n/a,instalmentBookDetail,nextRepaymentDate,,Optional,dateTime,,,
269,POLICY,Policy,instalmentBookDetail,n/a,n/a,instalmentBookDetail,partialCardNo,MSG - Not using card details,Optional,string (50),,,
270,POLICY,Policy,instalmentBookDetail,n/a,n/a,instalmentBookDetail,preferredCollectionDay,,Mandatory,int,,,
271,POLICY,Policy,instalmentBookDetail,n/a,n/a,instalmentBookDetail,reinstateStatus,The status of the instalment just prior to cancellation. Only applies to Funded Instalment Schemes,Optional,string (255),,,
272,POLICY,Policy,instalmentBookDetail,n/a,n/a,instalmentBookDetail,rejectionDescription,MSG - ARUDD code - Automated return of Unpaid Direct Debit details why payment service provider has not paid a direct debit.,Optional,string (255),,,
273,POLICY,Policy,instalmentBookDetail,n/a,n/a,instalmentBookDetail,remainingRepayments,MSG - Total number of outstanding instalment repayments,Mandatory,int,,,
274,POLICY,Policy,instalmentBookDetail,n/a,n/a,instalmentBookDetail,repaymentAmount, Value in pence. MSG - Regular instalment repayment amount.,Mandatory,long,,,
275,POLICY,Policy,instalmentBookDetail,n/a,n/a,instalmentBookDetail,signedReceivedDate,The date on which the signed instruction was received from the client.,Optional,dateTime,,,
276,POLICY,Policy,instalmentBookDetail,instalRepayment,n/a,instalmentRepayment,dueAmount,The amount to be repaid. Value in pence. . MSG - Assumed to be the next instalment only,Mandatory,long,,The sum of all outstanding repayments must match the instalmentOwedAmount,
277,POLICY,Policy,instalmentBookDetail,instalRepayment,n/a,instalmentRepayment,dueDate,The date by which the repayment needs to take place. . MSG - Assumed to be the next instalment only,Mandatory,dateTime,,All repayments must be within the policy term,
278,POLICY,Policy,instalmentBookDetail,instalRepayment,n/a,instalmentRepayment,paidAmount,The amount that was paid for the repayment. Value in pence. . MSG - From payment system,Mandatory,long,,,
279,POLICY,Policy,instalmentBookDetail,instalRepayment,n/a,instalmentRepayment,paidDate,Date payment was made. MSG - From payment system,Optional,dateTime,,,
280,POLICY,Policy,instalmentBookDetail,instalRepayment,n/a,instalmentRepayment,paidNo,Sequence number for instalments,Mandatory,long,,,
281,POLICY,Policy,instalmentBookDetail,instalRepayment,n/a,instalmentRepayment,rejectionCounter,Number of time the repayment was unable to be collected,Mandatory,long,,,
282,POLICY,Policy,instalmentBookDetail,instalRepayment,n/a,instalmentRepayment,representationDate,The re-presentation date of a failed instalment repayment,Optional,dateTime,,,
283,POLICY,Policy,instalmentBookDetail,instalRepayment,n/a,instalmentRepayment,status,MSG - Status of the instalment,Optional,string (255),PENDING. EXTRACTED. UNPAID. [Schema supersedes Metaval - Instalment Payment Status (6440)],,Yes
284,POLICY,Policy,instalmentBookDetail,instalRepayment,n/a,instalmentRepayment,transactionCode,The BACS extract transaction code of the instalment repayment.,Optional,string (100),17 (only for failed payments to be re-presented),,
291,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),convictionsConsent,Whether the person gave consent for their conviction details to be captured,Optional,xs:string (20),Yes. No. NotKnown,,Y
292,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),dateOfBirth,,Mandatory,dateTime,,,
293,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),declinedInsurance,Flag to indicate if the person has ever had insurance refused,Mandatory,string (20),Yes. No,,Y
294,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),firstName,,Mandatory,string (30),,,
295,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),fTEmployeeStatus,,Mandatory,string (100),EmployStatus (20),,Yes
296,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),fTEmployer,,Mandatory,string (100),Employer (Instep 11) (2011),,Yes
297,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),fTOccupation,,Mandatory,string (100),Occupation (Instep 55) (2055),,Yes
298,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),gender,,Mandatory,string (20),Gender (10),,Yes
299,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),lastName,,Mandatory,string (100),,,
300,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),maritalStatus,,Mandatory,string (20),MaritalStatus (12),,Yes
301,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),nameLine,The concatenated Tile first name and surname of the person,Optional,string (152),,,
302,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),nonRTAConvictionInd,Flag to indicate if the person has ever had a conviction not related to motoring,Mandatory,string (20),Yes. No. NotKnown,,Y
303,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),pTEmployeeStatus,,Mandatory,string (100),EmployStatus (20),,Yes
304,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),pTEmployer,,Mandatory,string (100),Employer (Instep 11) (2011),,Yes
305,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),pTOccupation,,Mandatory,string (100),Occupation (Instep 55) (2055),,Yes
306,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),relToProposer,How the named person is related to the proposer,Conditional,string (100),RelationshipToProposer (76),Cannot have more than one relToProposer as 'SPOUSEREL'. namedParty relToProposer is 'SPOUSEREL' Proposer maritalStatus must be 'M'. namedParty relToProposer is SPOUSEREL namedParty maritalStatus must be 'M'. Cannot have more than one relToProposer as 'CivPrtnr'. namedParty relToProposer is 'CivPrtnr'  Proposer maritalStatus must be 'V',Yes
307,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),smoker,Flag to indciate if the person smokes,Mandatory,string (20),Yes. No. NotKnown,,Y
308,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),suffix,,Optional,string (10),,,
309,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),title,,Mandatory,string (50),Title (11),,Yes
310,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Motor),uKResidentFrom,Date from which the named person has been resident in the UK,Optional,dateTime,,,
311,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),convictionsConsent,Whether the person gave consent for their conviction details to be captured,Optional,xs:string (20),Yes. No. NotKnown,,Y
312,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),dateOfBirth,,Mandatory,dateTime,,,
313,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),declinedInsurance,Flag to indicate if the person has ever had insurance refused,Mandatory,string (20),Yes. No,,Y
314,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),firstName,,Mandatory,string (30),,,
315,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),fTEmployeeStatus,,Mandatory,string (100),EmployStatus (20),,Yes
316,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),fTEmployer,,Mandatory,string (100),Employer (Instep 11) (2011),,Yes
317,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),fTOccupation,,Mandatory,string (100),Occupation (Instep 55) (2055),,Yes
318,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),gender,,Mandatory,string (20),Gender (10),,Yes
319,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),lastName,,Mandatory,string (100),,,
320,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),maritalStatus,,Mandatory,string (20),MaritalStatus (12),,Yes
321,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),nameLine,The concatenated Tile first name and surname of the person,Optional,string (152),,,
322,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),nonRTAConvictionInd,Flag to indicate if the person has ever had a conviction not related to motoring,Mandatory,string (20),Yes. No. NotKnown,,Y
323,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),pTEmployeeStatus,,Mandatory,string (100),EmployStatus (20),,Yes
324,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),pTEmployer,,Mandatory,string (100),Employer (Instep 11) (2011),,Yes
325,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),pTOccupation,,Mandatory,string (100),Occupation (Instep 55) (2055),,Yes
326,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),relToProposer,How the named person is related to the proposer,Conditional,string (100),RelationshipToProposer (76),Cannot have more than one relToProposer as 'SPOUSEREL'. namedParty relToProposer is 'SPOUSEREL' Proposer maritalStatus must be 'M'. namedParty relToProposer is SPOUSEREL namedParty maritalStatus must be 'M'. Cannot have more than one relToProposer as 'CivPrtnr'. namedParty relToProposer is 'CivPrtnr'  Proposer maritalStatus must be 'V',Yes
327,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),smoker,Flag to indciate if the person smokes,Mandatory,string (20),Yes. No. NotKnown,,Y
328,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),suffix,,Optional,string (10),,,
329,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),title,,Mandatory,string (50),Title (11),,Yes
330,POLICY,Policy,namedPerson,n/a,n/a,namedPerson (Home),uKResidentFrom,Date from which the named person has been resident in the UK,Optional,dateTime,,,
331,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),id,Optional sequence number for XML model,Optional,string (255),,,
332,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),amount,The amount paid out.  Value in pence. For non-motor policies only,Optional,long,,,
333,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),category,The type of policy cover the claim is under,Mandatory,string (255),For Motor policies: ClaimCategory (72). For Household polices: ClaimType (1469),,Yes
334,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),claimId,Redundant field to be removed  - Set to 1,Mandatory,long,1,,
335,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),clientClaimRef,A reference number given by the client ,Optional,string (100),,,
336,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),comments,Any further relevant information related to this claim,Optional,string (4000),,,
337,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),handlerNGOperatorID,The operator handling the claim,Mandatory,string (255),Reference Data: operator.loginName,,
338,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),incidentDate,Date the claim incident occurred,Mandatory,dateTime,,,
339,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),incidentDescription,A description of the cause of the incident,Mandatory,string (255),For Motor policies: ClaimDescription (73). For Household polices: Claim Description (1470),,Yes
340,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),insurerRef,A reference number given by the insurer for the claim,Optional,string (100),,,
341,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),location,For motor claims: The name or description of the incident location,Optional,string (100),,,
342,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),ncbPrejudiced,For motor claims: Indicates whether the NCB is/was prejudiced by this claim - equivalent to 'Was the party at fault?',Mandatory,boolean,,,
343,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),ownDamageCost,For motor claims: The amount claimed for the policyholders costs.  Value in pence,Optional,long,,,
344,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),personalInjury,For motor claims:A flag to indicate if any personal injury was sustained in the incident,Optional,boolean,,,
345,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),reportedDate,The date the claim was reported to the insurer,Optional,dateTime,,,
346,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),settledDate,Date on which the claim was settled,Optional,dateTime,,,
347,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor current),status,Whether the claim is open or closed,Mandatory,string (255),Claim Status (1436),,Yes
348,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),thirdPartyCost,For motor claims: The amount claimed by third parties involved in the incident.  Value in pence,Optional,long,,,
349,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),underPolicyHoldersCover,For Motor Claims: True indicates that the claim was covered under the policyholder’s cover. This is ticked and disabled when adding a claim via Manage Policy but is enabled when adding a claim as part of a quote.,Mandatory,boolean,,,
350,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),underThisPolicy,True indicates that the claim a) occurred during the life of the associated policy b) was added via Manage Policy – Claims and c) can be managed within Strata,Mandatory,boolean,,,
351,CLAIMS,Policy,namedPerson,claim,n/a,claim (Motor Current),vehicleReg,For motor claims only: The reg of the vehicle the claim relates to,Optional,string (12),,,
352,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),id,Optional sequence number for XML model,Optional,string (255),,,
353,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),amount,The amount paid out.  Value in pence. For non-motor policies only,Optional,long,,,
354,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),category,The type of policy cover the claim is under,Mandatory,string (255),For Motor policies: ClaimCategory (72). For Household polices: ClaimType (1469),,Yes
355,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),claimId,Redundant field to be removed  - Set to 1,Mandatory,long,1,,
356,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),clientClaimRef,A reference number given by the client ,Optional,string (100),,,
357,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),comments,Any further relevant information related to this claim,Optional,string (4000),,,
358,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),handlerNGOperatorID,The operator handling the claim,Mandatory,string (255),Reference Data: operator.loginName,,
359,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),incidentDate,Date the claim incident occurred,Mandatory,dateTime,,,
360,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),incidentDescription,A description of the cause of the incident,Mandatory,string (255),For Motor policies: ClaimDescription (73). For Household polices: Claim Description (1470),,Yes
361,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),insurerRef,A reference number given by the insurer for the claim,Optional,string (100),,,
362,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),location,For motor claims: The name or description of the incident location,Optional,string (100),,,
363,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),ncbPrejudiced,For motor claims: Indicates whether the NCB is/was prejudiced by this claim - equivalent to 'Was the party at fault?',Mandatory,boolean,,,
364,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),ownDamageCost,For motor claims: The amount claimed for the policyholders costs.  Value in pence,Optional,long,,,
365,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),personalInjury,For motor claims:A flag to indicate if any personal injury was sustained in the incident,Optional,boolean,,,
366,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),reportedDate,The date the claim was reported to the insurer,Optional,dateTime,,,
367,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),settledDate,Date on which the claim was settled,Optional,dateTime,,,
368,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),status,Whether the claim is open or closed,Mandatory,string (255),Claim Status (1436),,Yes
369,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),thirdPartyCost,For motor claims: The amount claimed by third parties involved in the incident.  Value in pence,Optional,long,,,
370,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),underPolicyHoldersCover,For Motor Claims: True indicates that the claim was covered under the policyholder’s cover. This is ticked and disabled when adding a claim via Manage Policy but is enabled when adding a claim as part of a quote.,Mandatory,boolean,,,
371,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),underThisPolicy,True indicates that the claim a) occurred during the life of the associated policy b) was added via Manage Policy – Claims and c) can be managed within Strata,Mandatory,boolean,,,
372,CLAIMS,Policy,namedPerson,claim,n/a,claim (Home Current),vehicleReg,For motor claims only: The reg of the vehicle the claim relates to,Optional,string (12),,,
373,POLICY,Policy,optionalExtra,n/a,n/a,optionalExtra (motor),amount,Sale amount in pence,Mandatory,long,,,
374,POLICY,Policy,optionalExtra,n/a,n/a,optionalExtra (motor),code,Unique code for the op-ex on Strata,Mandatory,string (8),Reference Data: optionalExtra.code,,
375,POLICY,Policy,optionalExtra,n/a,n/a,optionalExtra (motor),overriden,Indicates whether the amount was altered by an operator,Mandatory,boolean,,,
376,POLICY,Policy,optionalExtra,n/a,n/a,optionalExtra (motor),compulsory,Indicates if the Op-Ex was compulsory at the point of sale and thus cannot be removed mid-term,Optional,boolean,,,
676,POLICY,Policy,optionalExtra,n/a,n/a,optionalExtra (home),amount,Sale amount in pence,Mandatory,long,,,
677,POLICY,Policy,optionalExtra,n/a,n/a,optionalExtra (home),code,Unique code for the op-ex on Strata,Mandatory,string (8),Reference Data: optionalExtra.code,,
678,POLICY,Policy,optionalExtra,n/a,n/a,optionalExtra (home),overriden,Indicates whether the amount was altered by an operator,Mandatory,boolean,,,
679,POLICY,Policy,optionalExtra,n/a,n/a,optionalExtra (home),compulsory,Indicates if the Op-Ex was compulsory at the point of sale and thus cannot be removed mid-term,Optional,boolean,,,
377,POLICY,Policy,premiumBreakdownSection,n/a,n/a,premiumBreakdownSection,breakdownCode,A unique code identifying this breakdown item,Mandatory,string (10),,,
378,POLICY,Policy,premiumBreakdownSection,n/a,n/a,premiumBreakdownSection,breakdownText,A description of the Premium Breakdown [item],Mandatory,string (1024),,,
379,POLICY,Policy,premiumBreakdownSection,n/a,n/a,premiumBreakdownSection,lineNumber,Order of the breakdown item,Mandatory,int,,,
380,POLICY,Policy,premiumBreakdownSection,n/a,n/a,premiumBreakdownSection,value,Monetary amount in pence,Mandatory,long,,,
381,POLICY,Policy,quotesHubLifestyleFactor,n/a,n/a,quotesHubLifestyleFactor,id,Optional sequence number for XML model,Optional,string (255),,,
382,POLICY,Policy,quotesHubLifestyleFactor,n/a,n/a,quotesHubLifestyleFactor,code,The code identifying the Lifestyle factor,Mandatory,string (30),,,
383,POLICY,Policy,quotesHubLifestyleFactor,n/a,n/a,quotesHubLifestyleFactor,value,The value of the Lifestyle factor,Mandatory,string (30),,,
384,POLICY,Policy,renewalTerm,same as main policy model,n/a,policy,renewalterms,,Mandatory,,,,
385,POLICY,Policy,termOrCondition,n/a,n/a,termOrCondition,id,Optional sequence number for XML model,Optional,string (255),,,
386,POLICY,Policy,termOrCondition,n/a,n/a,termOrCondition,code,The code of the Term and Condition,Mandatory,string (10),,,
387,POLICY,Policy,termOrCondition,n/a,n/a,termOrCondition,text,The text of the Term and Condition,Mandatory,string (4000),,,
388,POLICY,Policy,termOrCondition,n/a,n/a,termOrCondition,value,The value in pence to be inserted into the Terms and conditions text,Mandatory,long,,,
389,POLICY,Policy,userField,n/a,n/a,userField,id,Optional sequence number for XML model,Optional,string (255),,,
390,POLICY,Policy,userField,n/a,n/a,userField,longResponse,The full response to the User field question,Optional,string (100),Pick List Name: PICKYN,,Y
391,POLICY,Policy,userField,n/a,n/a,userField,shortResponse,The abbreviated response to the User Field question,Optional,string (8),Pick List Name: PICKYN,,Y
392,POLICY,Policy,userField,n/a,n/a,userField,userFieldCode,A code by which the system identifies the User Field ,Mandatory,string (8),Reference Data: userField.code,,
628,POLICY,Policy,userField,n/a,n/a,userField,id,Optional sequence number for XML model,Optional,string (255),,,
629,POLICY,Policy,userField,n/a,n/a,userField,longResponse,The full response to the User field question,Optional,string (100),Pick List Name: PICKYN,,Y
630,POLICY,Policy,userField,n/a,n/a,userField,shortResponse,The abbreviated response to the User Field question,Optional,string (8),Pick List Name: PICKYN,,Y
631,POLICY,Policy,userField,n/a,n/a,userField,userFieldCode,A code by which the system identifies the User Field ,Mandatory,string (8),Reference Data: userField.code,,
632,POLICY,Policy,userField,n/a,n/a,userField,id,Optional sequence number for XML model,Optional,string (255),,,
633,POLICY,Policy,userField,n/a,n/a,userField,longResponse,The full response to the User field question,Optional,string (100),Pick List Name: PICKYN,,Y
634,POLICY,Policy,userField,n/a,n/a,userField,shortResponse,The abbreviated response to the User Field question,Optional,string (8),Pick List Name: PICKYN,,Y
635,POLICY,Policy,userField,n/a,n/a,userField,userFieldCode,A code by which the system identifies the User Field ,Mandatory,string (8),Reference Data: userField.code,,
636,POLICY,Policy,userField,n/a,n/a,userField,id,Optional sequence number for XML model,Optional,string (255),,,
637,POLICY,Policy,userField,n/a,n/a,userField,longResponse,The full response to the User field question,Optional,string (100),Pick List Name: PICKYN,,Y
638,POLICY,Policy,userField,n/a,n/a,userField,shortResponse,The abbreviated response to the User Field question,Optional,string (8),Pick List Name: PICKYN,,Y
639,POLICY,Policy,userField,n/a,n/a,userField,userFieldCode,A code by which the system identifies the User Field ,Mandatory,string (8),Reference Data: userField.code,,
640,POLICY,Policy,userField,n/a,n/a,userField,id,Optional sequence number for XML model,Optional,string (255),,,
641,POLICY,Policy,userField,n/a,n/a,userField,longResponse,The full response to the User field question,Optional,string (100),Pick List Name: PICKMONTH (UF-A),,Yes
642,POLICY,Policy,userField,n/a,n/a,userField,shortResponse,The abbreviated response to the User Field question,Optional,string (8),Pick List Name: PICKMONTH (UF-A),,Yes
643,POLICY,Policy,userField,n/a,n/a,userField,userFieldCode,A code by which the system identifies the User Field ,Mandatory,string (8),Reference Data: userField.code,,
644,POLICY,Policy,userField,n/a,n/a,userField,id,Optional sequence number for XML model,Optional,string (255),,,
645,POLICY,Policy,userField,n/a,n/a,userField,longResponse,The full response to the User field question,Optional,string (100),Pick List Name: PICKMONTH (UF-A),,Yes
646,POLICY,Policy,userField,n/a,n/a,userField,shortResponse,The abbreviated response to the User Field question,Optional,string (8),Pick List Name: PICKMONTH (UF-A),,Yes
647,POLICY,Policy,userField,n/a,n/a,userField,userFieldCode,A code by which the system identifies the User Field ,Mandatory,string (8),Reference Data: userField.code,,
656,POLICY,Policy,userField,n/a,n/a,userField,id,Optional sequence number for XML model,Optional,string (255),,,
657,POLICY,Policy,userField,n/a,n/a,userField,longResponse,The full response to the User field question,Optional,string (100),Pick List Name: PICKYN,,Y
658,POLICY,Policy,userField,n/a,n/a,userField,shortResponse,The abbreviated response to the User Field question,Optional,string (8),Pick List Name: PICKYN,,Y
659,POLICY,Policy,userField,n/a,n/a,userField,userFieldCode,A code by which the system identifies the User Field ,Mandatory,string (8),Reference Data: userField.code,,
660,POLICY,Policy,userField,n/a,n/a,userField,id,Optional sequence number for XML model,Optional,string (255),,,
661,POLICY,Policy,userField,n/a,n/a,userField,longResponse,The full response to the User field question,Optional,string (100),Pick List Name: MIGDSC (UF-C),,Yes
662,POLICY,Policy,userField,n/a,n/a,userField,shortResponse,The abbreviated response to the User Field question,Optional,string (8),Pick List Name: MIGDSC (UF-C),,Yes
663,POLICY,Policy,userField,n/a,n/a,userField,userFieldCode,A code by which the system identifies the User Field ,Mandatory,string (8),Reference Data: userField.code,,
664,POLICY,Policy,userField,n/a,n/a,userField,id,Optional sequence number for XML model,Optional,string (255),,,
665,POLICY,Policy,userField,n/a,n/a,userField,longResponse,The full response to the User field question,Optional,string (100),Pick List Name: GTB Y/N,,Y
666,POLICY,Policy,userField,n/a,n/a,userField,shortResponse,The abbreviated response to the User Field question,Optional,string (8),Pick List Name: GTB Y/N,,Y
667,POLICY,Policy,userField,n/a,n/a,userField,userFieldCode,A code by which the system identifies the User Field ,Mandatory,string (8),Reference Data: userField.code,,
672,POLICY,Policy,userField,n/a,n/a,userField,id,Optional sequence number for XML model,Optional,string (255),,,
673,POLICY,Policy,userField,n/a,n/a,userField,longResponse,The full response to the User field question,Optional,string (100),Pick List Name: PSOURCE (UF-E),,Yes
674,POLICY,Policy,userField,n/a,n/a,userField,shortResponse,The abbreviated response to the User Field question,Optional,string (8),Pick List Name: PSOURCE (UF-E),,Yes
675,POLICY,Policy,userField,n/a,n/a,userField,userFieldCode,A code by which the system identifies the User Field ,Mandatory,string (8),Reference Data: userField.code,,
396,POLICY,Policy,diary,n/a,n/a,diary,actionedBy,Operator who cancelled the diary. MSG - This diary complextype associated with commentDiary Ref 405,Optional,string (152),Reference Data: operator.loginName,,
397,POLICY,Policy,diary,n/a,n/a,diary,actionedDate,Date on which this Diary Entry was cancelled. MSG - This diary complextype associated with commentDiary Ref 405,Optional,dateTime,,,
398,POLICY,Policy,diary,n/a,n/a,diary,assignedTo,Reference to the Operator to whom this Diary Entry is assigned. MSG - This diary complextype associated with commentDiary Ref 405,Optional,string (152),Reference Data: operator.loginName,,
399,POLICY,Policy,diary,n/a,n/a,diary,commencingAt,Specifies the date that this diary entry starts. MSG - This diary complextype associated with commentDiary Ref 405,Optional,dateTime,,,
400,POLICY,Policy,diary,n/a,n/a,diary,createdDate,MSG - This diary complextype associated with commentDiary Ref 405,Mandatory,dateTime,,,
401,POLICY,Policy,diary,n/a,n/a,diary,diaryComment,Holds any comments relevant to this diary entry. MSG - This diary complextype associated with commentDiary Ref 405,Optional,string (4000),,,
402,POLICY,Policy,diary,n/a,n/a,diary,doneByOperator,Reference to the Operator who created this Diary Entry. MSG - This diary complextype associated with commentDiary Ref 405,Mandatory,string (152),Reference Data: operator.loginName,,
403,POLICY,Policy,diary,n/a,n/a,diary,dueDate,The date this diary entry is due to be actioned. MSG - This diary complextype associated with commentDiary Ref 405,Optional,dateTime,,,
404,POLICY,Policy,diary,n/a,n/a,diary,outputType,Specifies the method in which the associated document(s) will be output.. MSG - This diary complextype associated with commentDiary Ref 405,Optional,string (10),Email. Print. Download. [Schema supersedes Metaval - Output Type (1487)],,Yes
405,POLICY,Policy,diary,commentDiary,n/a,commentDiary,subject,Specifies the subject of the email to be sent,Optional,string (200),,,
788,POLICY,Policy,diary,n/a,n/a,diary,actionedBy,Operator who cancelled the diary. MSG - This diary complextype associated with documentSupportingDiary Refs 407-424,Optional,string (152),Reference Data: operator.loginName,,
789,POLICY,Policy,diary,n/a,n/a,diary,actionedDate,Date on which this Diary Entry was cancelled. MSG - This diary complextype associated with documentSupportingDiary Refs 407-424,Optional,dateTime,,,
790,POLICY,Policy,diary,n/a,n/a,diary,assignedTo,Reference to the Operator to whom this Diary Entry is assigned. MSG - This diary complextype associated with documentSupportingDiary Refs 407-424,Optional,string (152),Reference Data: operator.loginName,,
791,POLICY,Policy,diary,n/a,n/a,diary,commencingAt,Specifies the date that this diary entry starts. MSG - This diary complextype associated with documentSupportingDiary Refs 407-424,Optional,dateTime,,,
792,POLICY,Policy,diary,n/a,n/a,diary,createdDate,MSG - This diary complextype associated with documentSupportingDiary Refs 407-424,Mandatory,dateTime,,,
793,POLICY,Policy,diary,n/a,n/a,diary,diaryComment,Holds any comments relevant to this diary entry. MSG - This diary complextype associated with documentSupportingDiary Refs 407-424,Optional,string (4000),,,
794,POLICY,Policy,diary,n/a,n/a,diary,doneByOperator,Reference to the Operator who created this Diary Entry. MSG - This diary complextype associated with documentSupportingDiary Refs 407-424,Mandatory,string (152),Reference Data: operator.loginName,,
795,POLICY,Policy,diary,n/a,n/a,diary,dueDate,The date this diary entry is due to be actioned. MSG - This diary complextype associated with documentSupportingDiary Refs 407-424,Optional,dateTime,,,
796,POLICY,Policy,diary,n/a,n/a,diary,outputType,Specifies the method in which the associated document(s) will be output.. MSG - This diary complextype associated with documentSupportingDiary Refs 407-424,Optional,string (10),Email. Print. Download. [Schema supersedes Metaval - Output Type (1487)],,Yes
407,POLICY,Policy,diary,documentSupportingDiary,n/a,documentSupportingDiary,description,,Optional,string (150),,,
408,POLICY,Policy,diary,documentSupportingDiary,n/a,documentSupportingDiary,documentName,Document template name.  ,Optional,string (100),,,
409,POLICY,Policy,diary,documentSupportingDiary,n/a,documentSupportingDiary,documentType,,Optional,string (22),Document Template Type (1453),,Yes
410,POLICY,Policy,diary,documentSupportingDiary,n/a,documentSupportingDiary,fileName,Named of stored file,Optional,string (190),,,
