 ,2005-06 ($m),2006-07 ($m),2007-08 ($m),2008-09 ($m),2009-10 ($m),2010-11 ($m),2011-12 ($m),2012-13 ($m),2013-14 ($m),2014-15 ($m),2015-16 ($m),2016-17 ($m),2017-18 ($m),2018-19 ($m),2019-20 ($m),2020-21 ($m),2021-22 ($m),2022-23 ($m),2023-24 ($m),2024-25 ($m),2025-26 (est) ($m),2026-27 (est) ($m),2027-28 (est) ($m),2028-29 (est) ($m),2029-30 (est) ($m)
Gross income tax withholding,103782,107778,114665,117053,119863,130691,143908,151002,157743,167645,174815,180618,193809,206405,217095,221704,242139,271628,298328,299394,317700,333600,351100,369600,393900
Gross other individuals and trusts,25668,26785,30928,32057,27203,30361,32717,36002,37638,40224,43261,45133,46768,51555,48855,50225,60486,74064,78160,86228,95500,100100,103300,107900,120400
less: Refunds,15239,17147,19601,23569,24390,24660,25537,26801,27407,27033,28081,28364,29102,29514,36219,36265,38048,42014,37635,39223,40400,42800,46800,49700,55100
Total individuals and other withholding,114210,117415,125992,125541,122676,136393,151087,160203,167974,180836,189996,197388,211475,228445,229731,235664,264576,303679,338853,346399,372800,390900,407600,427800,459200
Fringe benefits tax,4083,3753,3795,3580,3522,3345,3962,3969,4285,4392,4453,3905,3813,3893,3939,3501,3261,4147,4856,5194,5560,5830,6060,6360,6780
Company tax,48662,58297,64687,60593,53092,57302,66541,68054,69091,65517,63529,71170,85770,94713,87846,99148,125914,153158,142945,142159,151300,157000,154600,150600,153900
Superannuation fund taxes,6641,7865,11980,9219,6167,6637,7765,7569,6148,5879,6830,8228,10927,10910,6621,13037,26559,10356,12668,26055,33050,31590,31240,32340,34590
Resource rent taxes,1991,1594,1871,2099,1297,806,1293,1927,1785,1353,876,976,993,1202,921,897,2166,1725,1276,1483,1670,1950,1620,1550,1240
Income taxation revenue,175588,188924,208324,201033,186753,204483,230648,241723,249283,257977,265684,281667,312978,339163,329058,352246,422476,473065,500598,521290,564380,587270,601120,618650,655710
Goods and services tax,39059,41148,44310,42558,46437,47858,48686,50166,55435,56348,60312,62727,65282,66385,65287,74688,76996,87908,90329,96543,100750,109150,113820,120700,127030
Wine equalisation tax,656,650,660,706,746,744,714,715,825,828,883,850,903,995,1040,1101,1133,1141,1102,1135,1060,1170,1210,1250,1300
Luxury car tax,330,365,464,384,499,489,439,432,476,540,620,674,735,688,632,900,963,1187,1230,1088,1160,1110,1070,1120,1160
Other sales taxes,-19,60,-19,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total sales taxes,40026,42223,45414,43647,47682,49091,49839,51313,56736,57716,61815,64251,66920,68067,66960,76689,79092,90236,92661,98766,102970,111430,116100,123070,129490
Fuel excise,14073,14653,15085,15592,15766,16305,16924,17839,17767,17590,17964,18441,19229,19830,19392,20250,18226,21523,24915,25768,22710,28180,29190,30210,31260
Other excise,7854,8082,8441,8727,8781,9497,8557,7871,7882,6097,3660,3454,3534,3658,3724,4253,4336,4758,4984,5089,5250,5490,5700,5920,6150
Total excise duty,21927,22734,23526,24319,24547,25803,25480,25710,25648,23687,21625,21895,22763,23488,23116,24503,22562,26281,29899,30857,27960,33670,34890,36130,37410
Customs duty,4988,5644,6070,6276,5748,5828,7105,8172,9280,10884,14046,14196,15690,15944,19507,18123,16945,17079,13836,11969,6750,7320,6340,5350,5000
Carbon pricing mechanism,0,0,0,0,0,0,0,6535,6623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Major bank levy,0,0,0,0,0,0,0,0,0,0,0,0,1527,1566,1639,1572,1456,1542,1656,1809,1940,2040,2120,2210,2320
Agricultural levies,610,608,611,620,395,445,421,476,491,509,522,554,564,563,469,534,646,677,624,671,673,671,710,737,727
Other taxes,2707,2743,2923,3407,3715,3916,3920,4176,5178,5591,5775,6143,6807,7356,6857,6646,7235,9408,11091,11823,11949,13881,14212,14808,15123
Total other indirect taxation revenue,3318,3351,3534,4028,4110,4361,4341,4652,5668,6100,6297,6697,8898,9485,8965,8752,9338,11627,13371,14303,14563,16593,17042,17755,18170
Indirect taxation revenue,70258,73953,78545,78269,82087,85082,86765,96382,103956,98387,103783,107039,114271,116984,118548,128066,127936,145223,149766,155896,152242,169013,174372,182305,190070
Taxation revenue,245846,262876,286869,279303,268841,289566,317413,338106,353239,356365,369468,388706,427249,456147,447605,480312,550412,618288,650365,677185,716622,756283,775492,800955,845780
Interest,2437,3921,5558,5124,4430,5169,4617,3646,3341,3147,2930,2992,3317,4477,3689,3033,4452,9892,12206,11518,10216,11224,11697,12433,13339
Dividends and other,12285,11098,10976,14081,19116,14469,15295,17744,17571,19943,22657,24025,25713,32721,34984,39668,41537,40209,41933,44306,46243,47821,49099,50085,51029
Non-taxation revenue,14723,15019,16534,19206,23546,19639,19911,21390,20912,23090,25587,27017,29031,37198,38673,42700,45989,50101,54139,55825,56459,59045,60796,62517,64368
Total revenue,260569,277895,303402,298508,292387,309204,337324,359496,374151,379455,395055,415723,456280,493346,486278,523012,596401,668389,704503,733010,773081,815328,836287,863473,910148
